title,author,publisher,isbn,edition,category,language,publication_date,audience,page_count,is_series,series,format,price,description,image
complete in history,Izz al-Din Abi al-Hasan Ali,دار المعرفة,956,تاريخ,ورقي,عربي,2011,عامة الناس,5923,لا,1,1,81,"A comprehensive history of the news of the kings of the East and the West, and what is between them. It began from the beginning of time to the end of the year six hundred and twenty eight.",https://drive.google.com/open?id=1uesro9GKslfxws867QOjXhMZkPgulbbC
Cyber ​​security,Engineer Mohamed Sheikho Mamo,Ray pub (دار شعاع),14050,تكنولوجيا,ورقي,عربي,2012,مبرمجين,432,لا,1,1,7,How to protect your business and private secrets and stay safe,https://drive.google.com/open?id=1EYIXrTInvqRq2Z6vfzSjnzJG4BsqY2dW
graphic design,Engineer Abdel Wahab Kassir,Ray pub (دار شعاع),15100,تكنولوجيا,الكتروني,عربي,2016,مبرمجين,256,لا,1,1,4.5,"The book provides a comprehensive explanation, supported by photographs and drawings, of basic and modern graphic design techniques",https://drive.google.com/open?id=1uZesD_eA0gp7LYxpfCzUO9W3dV0vMSrq
Web Programming with Dart,"Moises Belchin، Patricia Juberias ",Apress,1122,هندسة,الكتروني,انكليزي,2014,مبرمجين,446,لا,1,1,4,"This book introduces you to the world of application programming from its widest gates, and it will also give you the strength to qualify to work in the most powerful companies or even profit from applications independently.",https://drive.google.com/open?id=1-c_aAMdjzEG_kTvB9c03nvX3WOIidH1F
World atlas for children and young adults,Fouad Al-Husseini,دار المعرفة,9948381939,روايات,الكتروني,عربي,2016,أطفال,48,لا,1,1,4,A book that contains a set of geographical maps of the earth or a specific area of ​​the earth related to a specific subject.,https://drive.google.com/open?id=1r822pUdltzhIObJa6kBs8b4v1Kx5QLus
History of Jerusalem,Aref alaref,دار المعرفة,178926,تاريخ,الكتروني,عربي,1994,عامة الناس,321,لا,1,1,2,"This book collects the history of Jerusalem since its establishment in 3000 BC at the hands of the Persians, passing through different stages ranging from prosperity to atrophy, until the end of the British Mandate era in 1947.",https://drive.google.com/open?id=1_fa_60Y22sUquj9ElrEcu18cLmWtPwiG
Medical Herbs,Faisal Saad Kenz,دار المعرفة,9789,صحة,الكتروني,عربي,2013,عامة الناس,304,لا,1,1,8,"This book examines health and medical issues by defining one hundred and forty herbs with their popular, Arabic and French names, identifies their types through their descriptions and natural properties, and explains the function of each part of the herb, and its health and nutritional benefits.",https://drive.google.com/open?id=17gJWMB-rbcJh7leZsJUqKzrqVWZKA4wY
Teen personality,Anas Shakshak,Ray pub (دار شعاع),80036,تربية,الكتروني,عربي,2012,عامة الناس,224,لا,1,1,2.5,"In this book, we study the developmental changes between childhood and adolescence, the manifestations of physical, emotional, mental, social, and sexual growth. We show the behavioral patterns of adolescents, imaginary life, and dreams.",https://drive.google.com/open?id=15xM3wfW0mwxCBF1xxTUlOY20hohtWWIE
Negotiation techniques in sales and marketing,Dr. Nazih Al Yazigi,Ray pub (دار شعاع),40006,ادارة,الكتروني,عربي,2019,اقتصاديين,272,لا,1,1,3,"This famous book provides essential assistance to anyone who wants to develop their negotiation and persuasion abilities and increase their efficiency in selling products, services and ideas.",https://drive.google.com/open?id=1vQej88ZJJWY16NIYR_hK_iMbxa_lFhLs
 كتاب الدولة العثمانية عوامل النهوض وأسباب السقوط,علي محمد محمد الصلابي,دار المعرفة,979-265-314-1,تاريخ,الكتروني,عربي,2001,عامة الناس,582,لا,1,1,20,"لكتاب يتحدث عن الدولة العثمانية (عوامل النهوض وأسباب السقوط)؛ فيعطي صورة واضحة عن أصول الأتراك، ومتى دخلوا في الاسلام وعن اعمالهم المجيدة عبر التاريخ، ويستل من بطون المصادر والمراجع بعض التراجم لشخصيات تركية صهرها القرآن الكريم وساهمت في بناء الحضارة الاسلامية، ونصرت مذهب أهل السنة أمثال، السلطان سلجوق، وألب أرسلان، ونظام الملك، وملكشاه، ويتحدث الكتاب عن جهادهم ودعوتهم وحبهم للعلم والعدل، ويبين أن الأتراك الذين قاموا ببناء الدولة العثمانية امتداداً للسلاجقة ويتحدث حديثاً منصفاً عن زعماء الدولة العثمانية كعثمان الأول ، وأورخان ، ومراد الأول، وبايزيد الأول، ومحمد جلبي ، ومراد الثاني ومحمد الفاتح، ويبين صفاتهم والمنهج الذي ساروا عليه، وكيف تعاملوا مع سنن الله في بناء الدولة كسنة التدرج، وسنة الأخذ بالأسباب ، وسنة تغيير النفوس ، وسنة التدافع، وسنة الابتلاء، وكيف حقق القادة الأوائل شروط التمكين ، وكيف أخذوا بأسبابه المادية والمعنوية؟ وماهي المراحل التي مرت بها؟ وكيف كان فتح القسطنطينية نتيجة لجهود تراكمية شارك فيها العلماء والفقهاء والجنود والقادة على مر العصور وكر الدهور وتوالي الأزمان؟ ويبين للقارئ الكريم أن النهوض العثماني كان شاملاً في كافة المجالات العلمية والسياسية والاقتصادية والإعلامية والحربية، وأن للتمكين صفات، لابد من توفرها في القادة، والأمة، وبفقدها يفقد التمكين.
ويوضح للقارئ حقيقة الدولة العثمانية والأسس التي قامت عليها والأعمال الجليلة التي قدمتها للأمة؛ كحماية الأماكن المقدسة الإسلامية من مخططات الصليبية البرتغالية، ومناصرة أهالي الشمال الأفريقي ضد الحملات الصليبية الإسبانية وغيرها، وإيجاد وحدة طبيعية بين الولايات العربية ، وإبعاد الزحف الاستعماري عن ديار الشام ومصر، وغيرها من الاراضي الاسلامية، ومنع انتشار المذهب الاثنى عشري الشيعي الرافضي الى الولايات الاسلامية التابعة للدولة العثمانية ومنع اليهود من استيطان فلسطين، ودورها في نشر الاسلام في أوروبا ويتحدث هذا البحث عن سلبيات الخلافة العثمانية ، والتي كان لها الأثر في إضعاف الحكم، كأهمال اللغة العربية التي هي لغة القرآن الكريم والحديث الشريف في أخر عهدها، وعدم الوعي الاسلامي الصحيح، وانحرافها عن شرع الله تعالى وتأثرها بالدعوات التغريبية، ويتكلم عن حقيقة الصراع بين الحركة ال*****ة والدولة العثمانية، وعن الدور المشبوه الذي قام به محمد علي لصالح بريطانيا وفرنسا في ضربه للتيار الاسلامي في مصر، والحجاز ، والشام، وعن حركته التغريبية التي كانت خطوة نحو الإنسلاخ عن المبادئ الاسلامية الأصيلة ويتحدث عن الدعم الماسوني الذي كان خلف سياسات محمد علي المدمرة للأمة الاسلامية ويوضح الكتاب أن محمد علي كان مخلباً وخنجراً مسموماً استعمله الأعداء في تنفيذ مخططاتهم ولذلك وقفوا معه في نهضته العلمية ، والاقتصادية والعسكرية بعد أن أيقنوا بضعف الجانب العقدي والإسلامي لديه ولدى أعوانه وجنوده، وكيف ترتب على دور محمد علي في المنطقة بأسرها أن تنبهت الدول الأوروبية الى مدى الضعف الذي أصبحت عليه الدولة العثمانية، وبالتالي استعدادها لتقسيم أراضيها حينما تتهيأ الظروف السياسية.
ويتكلم عن السلطان محمود الثاني الذي ترسم خطى الحضارة الغربية في حركته الاصلاحية، ويتحدث عن أبنه عبدالمجيد الذي تولى السلطنة من بعده والذي كان خاضعاً لتأثير وزيره رشيد باشا الذي وجد مثله وفلسفته في الماسونية، وكيف ساهم هذا الوزير مع أنصاره في دفع عجلة التغريب التي كانت تدور حول نقاط ثلاثة هامة: الاقتباس من الغرب فيما يتعلق بتنظيم الجيش، والاتجاه بالمجتمع نحو التشكيل العلماني، والاتجاه نحو مركزية السلطة في استانبول والولايات، وكيف كانت الخطوات الجرية التي اتخذها الماسون الأتراك نحو علمنة الدولة وإظهار خطى كلخانة وهمايون والوصول الى دستور مدحت باشا عام 1876م وكان ذلك الحدث أول مرة في تاريخ الاسلام ودوله يجري العمل بدستور مأخوذ عن الدستور الفرنسي والبلجيكي والسويسري وهي دساتير وضعية علمانية",https://drive.google.com/open?id=175sd0y2sma_CYS7BjVpEOxCCGJObEyhT
كتاب الطب والحياة,محمد جهاد شعبان,دار المعرفة,9953-446-86-5,صحة,الكتروني,عربي,2010,عامة الناس,382,لا,1,1,30,"قع هذا الكتاب في ثمانية فصول خصص المؤلف كل فصل للحديث عن نوع من أنواع الأغذية (الخضروات، الفواكة، الحبوب، المكسرات، والمشروبات، الأعشاب والزهورات والتوابل، المنتوجات الحيوانية، المتفرقات)، وهو يذكر كل نوع من الأنواع وأماكن وجوده أو زراعته إضافة إلى تاريخه والأجزاء المستعملة منه، وتركيبته واستعمالاته الطبية.ويؤكد المؤلف في هذا الكتاب أن ما يأكله الإنسان يؤثر سلباً أو إيجاباً على صحته، ومن هنا يجب توجيه المريض إلى الأغذية التي تساعد على شفاء أمراضه ومنعه من تناول المأكولات التي تعاكس مفعول الدواء الشفائي الذي يتناوله لعلاج أمراضه. .",https://drive.google.com/open?id=1Fn582KkPjkFpLvw9pIlw3RhWvO5zxCPA
كتاب هل تعاني من ارتفاع ضغط الدم؟ دواؤك الطبيعي من الأعشاب والغذاء,أيمن الحسيني,دار المعرفة,977-271-082-X,صحة,الكتروني,عربي,1993,عامة الناس,93,لا,1,1,10,"ضغط الدم هو قوة دفع الدم على جدران الأوعية الدموية التي ينتقل خلالها لمداد كافة أنسجة الجسم وأعضائه بالغذاء والأكسجين والماء والإنزيمات فيما يعرف بالدورة الدموية. تبدأ الدورة الدموية مع انقباض عضلة القلب ليدفع بقوة كل محتوياته من الدم ، فتنتقل بدورها من القلب إلى الشريان الأبهر أضخم شرايين جسم الإنسان ومنه إلى بقية الشرايين، ثم ينبسط القلب ليسمح بامتلائه بكمية جديدة من الدم المعبأ بالأكسجين لينقبض من جديد دافعا بشحنة جديدة إلى الشريان الأبهر مرة أخرى ، وهكذا دواليك. تبين الإحصاءات الطبية الأهمية الكبرى للحفاظ على ضغط الدم بحيث يكون في المتوسط 115/75 مليمتر زئبق ، وأن زيادته عن هذا الحد تؤدي إلى إجهاد القلب والكلى ، وقد يؤدي ارتفاعه إلى سكتة دماغية أو العقم المبكر عند الرجال.",https://drive.google.com/open?id=1KgM69vCSQCpPQ4DI7IUn7GnTPMzGiwvs
كتاب ميزان الاعتدال فى نقد الرجال المجلد الثالث,شمس الدين الذهبي,دار المعرفة,7876,روايات,الكتروني,عربي,1990,عامة الناس,686,نعم,3,3,5,"ميزان الاعتدال في نقد الرجال هو كتاب في الجرح والتعديل ألفه الحافظ أبي عبد الله محمد بن أحمد بن عثمان بن قايماز شمس الدين الذهبي، وهو كتاب جامع لنقد رواة الآثار حاو لتراجم ائمة الأخبار، ألفه الذهبي بعد تأليفه "" المغني في الضعفاء "" الذي اعتمد فيه على كثير من المراجع، وقد زاد في "" الميزان "" رجالا لم يكن ذكرهم في "" المغني ""، وقد ذكر المؤلف في الكتاب الرواة: الكذابين، والمتروكين، والضعفاء، وعلى الحفاظ الذين في دينهم رقة، وعلى من يقبل في الشواهد، وعلى الصادقين أو المستورين الذين فيهم لين، والمجهولين، والثقات الذين تكلم فيهم من لا يلتفت إليه. قال الذهبي : ""قد احتوى كتابي هذا على ذكر الكذابين والوضاعين، ثم على المحدثين الصادقين أو الشيوخ المستورين الذين فيهم لين ولم يبلغوا رتبة الأثبات المتقنين، ثم على خلق كثير من المجهولين "".
",https://drive.google.com/open?id=1VYkrgPeE3nJDYv8jMzqXa48nFdpGOhnt
مبادئ الكهرباء والالكترونيات,المهندس علاء حسن,Ray pub (دار شعاع),20079,هندسة,الكتروني,عربي,2000,مبرمجين,544,لا,1,1,8,يقدم هذا الكتاب مبادئ الكهرباء والإلكترونيات وتقاناتها من خلال طرح الأمثلة من المسائل العملية دون الخوص في التفاصيل النظرية وذلك لترسيخ الفهم العملي لهذه المبادئ لدى الطلاب والتقنيين في مجالات الهندسة الكهربائية والإلكترونية والاتصالات,https://drive.google.com/open?id=1detqTXrU5-EohEm8B-j77dIYGOcHtLAS
المرجع التعليمي في التنقيب عن البيانات,هالة الطويل,Ray pub (دار شعاع),16036,هندسة,الكتروني,عربي,2008,مبرمجين,768,لا,1,1,8.5,"يقدم كتاب التنقيب عن البيانات Data Mining شرحاً للمفاهيم الأساسية والخوارزميات لأولئك الذين يتعلمون التنقيب عن البيانات للمرة الأولى. قمنا من خلال هذا الكتاب بسبر معمّق لأهم تقنيات التنقيب عن البيانات بدءاً بالمعالجة المسبقة للبيانات والتصنيف وتحليل الاقتران والعنقدة والكشف عن التشوهات مع تدعيم الشرح بعدة أمثلة لتوضيح المفاهيم الأساسية.

تم تنظيم كل موضوع ضمن فصلين يبدأ الأول بشرح المفاهيم الأساسية التي تعطي القارئ الخلفية المعرفية الضرورية لفهم كل تقنية من تقنيات التنقيب عن البيانات يتبعه فصل يشرح المفاهيم والخوارزميات المتقدمة.",https://drive.google.com/open?id=1EDNkSiyGRcGTTzAlbOMnDw6mqXaRAJbC
كتاب الميكروبات والإنسان,جون بوستيجيت,دار المعرفة,238-876-45-7,صحة,الكتروني,عربي,1990,عامة الناس,278,نعم,3,3,4,"الكَائِنَات الحَيَّة الدَقِيْقَة واختصارًا «الأَحْيَاء الدَقِيْقَة» أو الميكروبات أو نُفْطُور (بالإنجليزية: Microorganism) هي مجموعة واسعة من الأحياء التي لا تُرى بالعين المجردة إلّا أن هناك شواذ لهذه القاعدة فالبعض منها يمكن رؤيته بالعين المجردة. العلم الذي يختص بدراسة الكائنات الحية الدقيقة يسمى علم الأحياء الدقيقة. الكائنات الدقيقة تشمل البكتيريا والفطريات والطحالب والأولية ولكنها لا تشمل الفيروسات. يحتار العلماء في تصنيف الفيروسات هل هي كائن حي أم كائن غير حي؟ وهي تعدّ مسألة علمية تحتاج إلى البحث بحيث يتوصل العلماء إلى تعريف دقيق لمعنى ""كائن الحياة"". الفيروسات تتكون من نواة بها كروموسومات ولا يغطيها سيتوبلازم الذي يكوّن نحو 70% من حجم الخلية. لكن إذا دخل الفيروس خلية حيوية يستغل سيتوبلازم الخلية ويتكاثر الفيروس عن طريق سيادة كروموسوماته على كروموسومات الخلية. وبتكاثره ينتشر في الخلايا المجاورة ويجبرها على اتباع نمطه الحيوي بلا توقف. وفي هذا الكتاب سوف نتعرف علي الميكروبات والأنسان جون بوستيجيت - ❰ له مجموعة من المؤلفات أبرزها ❞ الميكروبات والإنسان ❝",https://drive.google.com/open?id=11kzoirc93IrG4Ix1fIUq6iZMpaGXghhT
كتاب الروح والجسد,مصطفى محمود,دار المعرفة,245-457-456-2,فن,الكتروني,عربي,1998,عامة الناس,116,لا,1,1,4,كتاب الروح والجسد هو كتاب من تأليف الدكتور مصطفى محمود تحدث فيه عن طرفان نقيضان يتصارعان وبينهما يعيش الإنسان في كبد تحلق به الروح في علياء المعاني السامية ويقيده الجسد الفاني بأغلال محكمة من شهوات ورغبات.. هذا الصراع الذي تكلم فيه رجال الدين والفلاسفة والمفكرون والمتصوفون..,https://drive.google.com/open?id=110aOQNqOY4TYZvm9aPd3qBLuipjzXibc
